glyph_unified	src_ref
	D4-2571
	D4-2581
率	D4-2582
	D4-2583
	D4-2584
零	D4-2591
	D4-2592
	D4-2593
	D4-2594
	D4-2595
	D4-2596
	D4-2601
	D4-2602
	D4-2603
	D4-2604
	D4-2621
	D4-2631
	D4-2632
浪	D4-2633
	D4-2634
	D4-2635
	D4-2636
寧	D4-2641
	D4-2642
	D4-2643
賂	D4-2644
懶	D4-2645
	D4-2646
	D4-2647
	D4-2651
	D4-2652
	D4-2653
	D4-2661
	D4-2662
	D4-2663
	D4-2664
	D4-2665
	D4-2671
	D4-2672
	D4-2673
	D4-2674
	D4-2681
	D4-2682
	D4-2683
	D4-2684
	D4-2685
	D4-2691
	D4-2692
	D4-2693
	D4-2701
	D4-2702
	D4-2703
	D4-2704
亮	D4-2711
鍊	D4-2712
朗	D4-2713
	D4-2714
嶺	D4-2721
列	D4-2722
漣	D4-2723
劣	D4-2724
	D4-2725
	D4-2726
	D4-2731
煉	D4-2732
	D4-2733
兩	D4-2734
	D4-2741
	D4-2742
	D4-2751
	D4-2752
	D4-2753
	D4-2754
	D4-2761
	D4-2762
	D4-2763
	D4-2764
	D4-2771
	D4-2772
	D4-2781
	D4-2782
暈	D4-2791
律	D4-2792
戮	D4-2793
	D4-2794
咽	D4-2801
	D4-2802
	D4-2803
	D4-2811
玲	D4-2812
捻	D4-2821
	D4-2831
葉	D4-2832
	D4-2833
尿	D4-2834
菱	D4-2835
	D4-2836
	D4-2837
參	D4-2841
	D4-2842
	D4-2843
	D4-2851
	D4-2852
	D4-2853
	D4-2854
	D4-2855
	D4-2856
	D4-2857
	D4-2861
	D4-2862
	D4-2871
	D4-2872
	D4-2873
	D4-2874
	D4-2875
	D4-2876
	D4-2877
	D4-2881
	D4-2882
	D4-2891
	D4-2892
	D4-2893
	D4-2894
	D4-2895
	D4-2901
	D4-2902
	D4-2911
陵	D4-2921
	D4-2922
	D4-2923
	D4-2931
	D4-2932
狼	D4-2933
	D4-2941
	D4-2951
	D4-2952
	D4-2953
	D4-2954
	D4-2961
	D4-2962
	D4-2963
	D4-2964
	D4-2965
	D4-2966
	D4-2971
	D4-2972
	D4-2973
	D4-2974
	D4-2975
	D4-2976
	D4-2981
驪	D4-2982
	D4-2983
	D4-2991
	D4-2992
	D4-2993
	D4-2994
	D4-3001
	D4-3002
	D4-3003
	D4-3004
	D4-3011
	D4-3012
	D4-3013
異	D4-3014
塞	D4-3015
	D4-3021
	D4-3022
	D4-3023
	D4-3024
	D4-3025
	D4-3026
	D4-3031
	D4-3032
	D4-3033
	D4-3034
	D4-3041
	D4-3042
	D4-3043
	D4-3044
磻	D4-3045
屢	D4-3046
	D4-3047
	D4-3051
	D4-3052
	D4-3053
	D4-3054
	D4-3061
	D4-3062
	D4-3071
	D4-3072
	D4-3073
	D4-3074
	D4-3075
	D4-3081
	D4-3082
	D4-3091
	D4-3092
	D4-3093
	D4-3094
	D4-3101
	D4-3102
	D4-3103
	D4-3104
	D4-3105
	D4-3106
	D4-3107
	D4-3108
	D4-3111
	D4-3112
	D4-3121
	D4-3141
	D4-3142
	D4-3143
	D4-3151
	D4-3152
	D4-3153
	D4-3181
	D4-3182
	D4-3221
	D4-3241
	D4-3261
	D4-3271
	D4-3272
	D4-3273
	D4-3281
	D4-3282
